"","CK0d1","CK0d2","CK0d3","CK3d1","CK3d2","CK3d3","CK10d1","CK10d2","CK10d3","CK30d1","CK30d2","CK30d3","CK45d1","CK45d2","CK45d3","Lp0d1","Lp0d2","Lp0d3","Lp3d1","Lp3d2","Lp3d3","Lp10d1","Lp10d2","Lp10d3","Lp30d1","Lp30d2","Lp30d3","Lp45d1","Lp45d2","Lp45d3","taxonomy"
"15",16,10,14,23,17,16,11,10,17,10,13,7,7,2,8,12,17,17,16,21,14,11,15,7,9,6,1,3,5,5,"Tripsacum dactyloides"
"16",13,7,14,14,7,9,13,11,7,15,14,7,15,3,16,7,5,11,10,9,2,10,7,4,8,9,8,12,18,10,"Aspergillus ruber"
"17",5,3,3,0,1,2,1,2,4,0,3,1,3,0,12,7,5,149,6,0,3,2,3,2,3,3,0,2,1,1,"Unclassified_g_Alternaria"
"18",1,1,4,0,3,0,4,3,2,1,4,4,3,1,12,8,1,113,4,1,4,2,1,1,5,1,1,5,0,0,"Unclassified_o_Pleosporales"
"19",4,9,8,6,7,3,1,5,6,6,3,4,7,3,3,7,15,11,9,5,4,14,5,7,4,6,8,4,3,7,"Unclassified_g_Aspergillus"
"20",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,37,64,35,"Templar sp. MCZ IZ 29229"
"21",9,3,9,0,0,2,3,1,1,4,3,3,8,3,16,4,1,3,8,7,3,3,4,0,7,8,2,2,5,4,"Phyllosticta capitalensis"
"22",6,5,4,7,4,6,5,6,4,12,3,1,4,0,9,4,7,4,4,3,0,7,4,2,3,1,6,2,2,1,"Unclassified_g_Fusarium"
"23",6,6,6,2,2,0,6,4,2,4,4,2,1,2,5,6,6,7,2,3,3,3,2,3,1,1,3,1,1,5,"Unclassified_o_Eurotiales"
"24",5,1,15,3,6,2,1,2,4,2,1,2,1,1,4,1,4,8,4,8,1,0,2,0,4,2,0,4,7,3,"Unclassified_f_Aspergillaceae"
"25",1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,76,0,"Procambarus natchitochae"
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,2,3,5,3,7,3,13,14,4,11,5,3,"Ogataea philodendri"
"27",1,3,2,0,2,0,1,0,0,1,0,1,2,0,4,1,1,55,3,3,1,0,3,1,0,0,0,0,0,0,"Unclassified_c_Dothideomycetes"
"28",0,2,2,4,0,1,0,0,2,0,0,3,2,0,0,7,4,1,3,1,0,1,1,2,2,4,2,4,6,6,"Unclassified_p_Arthropoda"
"29",0,3,0,0,2,1,4,2,3,3,3,0,3,0,2,1,2,1,3,2,0,2,1,1,2,10,1,4,3,1,"Unclassified_o_Mucorales"
"30",2,0,1,0,0,4,0,1,2,2,2,4,2,11,1,1,1,3,2,0,1,0,0,1,1,2,2,2,1,2,"Microglena monadina"
"31",0,1,2,1,1,0,0,0,1,0,0,0,0,0,5,1,2,30,0,0,0,0,0,1,1,0,0,2,0,0,"Unclassified_f_Pleosporaceae"
"32",3,2,3,0,0,0,0,1,0,3,1,2,1,8,1,0,4,2,0,2,2,0,0,5,0,0,2,0,3,1,"Unclassified_c_Agaricomycetes"
"33",1,0,0,4,0,2,3,4,0,9,0,0,0,0,4,4,0,2,0,4,1,3,0,0,0,0,0,2,0,1,"Unclassified_o_Hypocreales"
"34",0,1,1,2,0,0,0,1,0,1,0,3,3,4,1,2,3,3,1,1,0,2,0,2,2,2,4,0,1,0,"Unclassified_p_Basidiomycota"
"35",3,3,4,3,0,5,1,2,1,0,1,1,0,0,0,2,0,1,2,1,5,0,1,0,1,2,0,0,0,0,"Unclassified_o_Lepidoptera"
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,1,"Colletotrichum chrysophilum"
"37",1,2,4,4,1,1,3,1,0,2,1,0,0,0,0,1,2,1,1,3,1,1,0,0,1,2,0,0,1,1,"Unclassified_f_Phyllodactylidae"
"38",1,3,2,0,4,0,0,1,0,0,1,0,1,1,5,2,1,0,0,5,2,0,1,1,0,2,0,0,0,0,"Zea diploperennis"
"39",0,0,0,0,0,0,0,0,1,1,1,3,0,0,4,1,1,14,0,0,0,0,0,1,0,1,1,3,1,0,"Plasmodium ovale"
"40",0,1,0,0,0,1,0,0,0,0,0,4,1,7,1,0,1,5,0,1,2,1,0,0,0,2,2,0,2,1,"Neocallimastix californiae"
"41",0,0,2,7,0,2,0,1,2,0,1,0,2,0,0,1,3,2,1,0,0,1,0,0,0,0,3,0,0,2,"Unclassified_c_Sordariomycetes"
"42",1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,5,2,2,1,0,3,2,1,1,1,0,"Aspergillus heteromorphus"
"43",4,1,6,2,1,0,2,1,0,0,2,0,0,0,0,2,0,2,1,2,0,1,0,0,0,2,0,0,0,0,"Plasmodium sp. F70.3"
"44",2,1,0,0,1,0,1,1,0,1,2,1,2,0,1,3,1,3,1,0,2,1,1,0,0,1,1,0,1,0,"Unclassified_f_Nectriaceae"
"45",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,15,"Typhicola sp."
"46",1,1,0,1,0,1,0,0,0,1,1,3,1,4,4,1,0,0,2,0,0,0,0,0,1,2,2,1,0,0,"Chlorella sp. ArM0029B"
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,4,1,1,8,1,2,0,4,"Aspergillus lentulus"
"48",2,0,2,3,2,1,1,1,0,1,2,1,0,0,0,1,3,1,0,0,1,2,0,0,0,1,0,0,0,0,"Hortaea werneckii"
"49",1,0,3,0,1,2,1,2,2,0,1,2,0,0,0,1,2,0,0,0,2,1,0,3,0,0,0,0,0,0,"Unclassified_c_Magnoliopsida"
"50",1,1,1,2,0,0,1,3,2,1,0,0,0,0,0,2,0,3,1,2,0,1,1,0,0,1,0,0,0,0,"Ficus natalensis"
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,5,2,1,1,0,1,5,2,"Xylariaceae sp. FL0821"
"52",1,0,0,7,1,1,0,0,0,0,0,0,0,1,0,0,0,2,4,1,0,0,0,0,0,2,0,0,0,3,"Unclassified_g_Trichoderma"
"53",2,0,4,2,1,0,2,0,0,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"Choiromyces venosus"
"54",1,0,0,0,1,0,0,1,1,0,1,1,2,3,2,0,0,0,0,0,1,0,0,4,0,1,0,2,1,1,"Melanconium sp. 1 NRRL 54901"
"55",0,1,1,1,0,0,0,0,0,0,2,3,1,6,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,"Unclassified_o_Agaricales"
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,18,1,"Alternaria sp. XN-3-1"
"57",3,1,1,1,2,0,0,0,0,3,2,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,"Prorocopis sp. ANIC11"
"58",2,1,2,0,1,1,0,0,0,1,0,1,0,0,0,2,0,0,3,2,1,1,1,0,0,0,0,1,0,0,"Oligosoma hardyi"
"59",1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,1,0,5,1,1,2,1,"Umbelopsis ramanniana"
"60",1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,"Alternaria burnsii"
"61",0,2,0,1,2,2,0,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,0,0,0,0,0,"Symbiodinium sp. DJT-2013f"
"62",2,0,1,1,1,3,2,1,0,0,0,0,0,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,1,"Unclassified_o_Coleoptera"
"63",0,1,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,4,1,0,0,"Basidiobolus meristosporus"
"64",0,1,0,2,2,0,0,0,0,0,2,0,0,0,5,0,1,1,2,0,0,0,0,0,0,0,1,1,1,0,"Aspergillus luchuensis"
"65",1,1,0,0,0,1,1,0,0,0,0,0,0,6,0,1,1,1,2,0,0,0,0,0,0,0,2,1,1,0,"Nicotiana tabacum"
"66",4,2,1,1,1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,0,0,"Colletotrichum gloeosporioides"
"67",0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,2,1,1,1,4,0,0,2,0,1,0,0,0,0,0,"Unclassified_g_Hessea"
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,1,0,4,2,1,1,1,0,"Unclassified_g_Nakaseomyces"
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,2,0,3,1,1,2,1,2,"Unclassified_f_Debaryomycetaceae"
"70",1,0,2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,7,0,0,0,0,"Unclassified_g_Rhizopus"
"71",2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,1,0,1,0,5,0,1,0,"Unclassified_g_Chlamydomonas"
"72",0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,0,1,2,0,0,0,1,0,0,"Alternaria atra"
"73",1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0,"Eupithecia sp. BOLD:AAF6278"
"74",0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,2,1,"Porodaedalea niemelaei"
"75",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,7,0,"Unclassified_g_Suillus"
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,3,2,2,"Unclassified_o_Diptera"
"77",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,"Phyllosticta paracitricarpa"
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,1,0,0,0,1,0,0,"Alternaria tenuissima"
"79",2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,"Unclassified_c_Insecta"
"80",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,2,0,1,0,1,0,1,0,0,"Tulasnella sp. 427"
"81",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,"Bipolaris zeicola"
"82",0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,"Colletotrichum scovillei"
"83",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"Penicillium brevicompactum"
"84",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,"Trichoderma asperelloides"
"85",0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Fusarium oxysporum"
"86",1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Trichromia sp. DR14_0133"
"87",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,"Mucor heterogamus"
"88",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,"Stephanosphaera pluvialis"
"89",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,"Fusarium xylarioides"
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,"Bipolaris victoriae"
"91",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"Thermothelomyces thermophilus"
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Alternaria gaisen"
"93",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"Unclassified_g_Bipolaris"
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Alternaria sp. MG1"
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,"Solicoccozyma terricola"
"96",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,"Schistonchus sp. 4 NK-2021"
"97",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"Melampsora medusae x Melampsora occidentalis"
"98",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Chlamydomonas sp. ICE-L"
"99",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Xenia puertogalerae"
"100",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,"Unclassified_g_Mycena"
"101",0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Lentinula boryana"
"102",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,"Phycomyces nitens"
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"Physella sp. BOLD:ABY6201"
"104",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Penicillium salamii"
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,"Mutisia lanigera"
"106",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Fragilariopsis cylindrus"
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,"Candida oxycetoniae"
"108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,"Saccharomyces paradoxus"
"109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Fusarium pseudograminearum"
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"Gymnoscelis sp. YAWAN752-14"
"111",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chlenias basichorda"
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Geoscypha sp."
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Asterochloris sp. Vancurova A513"
"114",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Thermomyces lanuginosus"
"115",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Curvularia lunata"
"116",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alternaria arborescens"
"117",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chezala carphalea"
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Topsentia sp. USNM 1204867"
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Ficophagus sp. 8 NK-2021"
"120",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unclassified_g_Platythomisus"
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unclassified_g_Pseudotiphia"
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Pinnixulala sp. C EPT-2020"
"123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Harbansus slatteryi"
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Anopheles (Anopheles) sp. 215"
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Saccharomyces pastorianus"
"126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Ophioceras freycinetiae"
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Cecidomyiidae sp. BIOUG25261-F04"
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Termitomyces sp. T60a"
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Hypoxylon sp. ZY-2021a"
"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Dactylella sp. YMF1.00568"
"131",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brownliella sp. SK-2013a"
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salmo sp. GP94_07"
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Xylaria lindericola"
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Salmo sp. SILVA_02"
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Salmo sp. SS2_02"
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Inosperma flavobrunneum"
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alcea sp. Kh114"
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suillus decipiens"
"139",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unclassified_g_Proscymnodon"
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Phialophora attinorum"
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Amatitlania siquia"
"142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Paecilomyces variotii"
"143",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Astraeus odoratus"
