"","CK0d1","CK0d2","CK0d3","CK3d1","CK3d2","CK3d3","CK10d1","CK10d2","CK10d3","CK30d1","CK30d2","CK30d3","CK45d1","CK45d2","CK45d3","Lp0d1","Lp0d2","Lp0d3","Lp3d1","Lp3d2","Lp3d3","Lp10d1","Lp10d2","Lp10d3","Lp30d1","Lp30d2","Lp30d3","Lp45d1","Lp45d2","Lp45d3","taxonomy"
"14",564,519,537,2435,1977,1714,7927,6407,6307,11574,11088,8627,10724,4743,15926,903,938,766,1669,1618,1062,5439,4388,4776,9802,10294,7835,51253,108081,23781,"Unclassified_f_Lactobacillaceae"
"15",9045,10496,7757,5363,5354,4895,4782,6454,4350,9261,7000,20174,7112,46273,6870,11236,9176,19096,6971,5164,6788,5692,5035,14526,10392,10460,27292,6194,10338,4752,"Corynebacterium pseudokroppenstedtii"
"16",13858,14373,16561,17054,15425,12552,9741,10412,10112,7124,7554,4590,8519,1819,8784,15759,15035,13620,11502,11784,11944,10536,10160,6858,6544,9677,4760,3228,4299,4954,"Acinetobacter bereziniae"
"17",12093,12906,15196,16096,14164,11503,9026,9458,9183,6329,6755,4290,7750,1582,7993,13864,13368,11906,10549,11013,10536,9153,9120,6042,5829,8525,4332,2915,3825,4425,"Acinetobacter sp. YH1901134"
"18",10597,11155,12880,13182,12027,9924,8111,8172,8336,5873,6018,3866,7819,1950,7220,12491,11953,11212,9125,9315,9344,7972,8068,5158,4886,7292,4069,2292,2945,3400,"Clostridioides difficile"
"19",10813,10244,11865,10296,9289,7893,7523,7254,5940,5627,5693,4535,4688,2630,6463,10802,9203,9315,9261,8419,7188,8316,6526,7065,4925,6162,3924,4168,3427,3081,"Unclassified_g_Bacillus"
"20",7645,8297,8647,8477,7999,6567,5123,5850,5355,5057,4857,6559,5112,10745,5234,8997,8189,9630,6652,6240,6435,6328,5292,6312,5096,6460,7874,2748,7131,3272,"Unclassified_p_Proteobacteria"
"21",6936,7831,7616,7293,6711,5900,4864,5607,4618,5104,4355,7662,4898,14140,4808,8562,7767,9970,6026,5544,6091,5321,4749,6769,5240,6415,9565,2934,4606,3052,"Klebsiella pneumoniae"
"22",311,330,327,2743,2176,1973,9563,7511,7538,13553,13667,10231,11896,4819,16301,454,497,445,1888,1762,1129,6361,5232,5574,10950,11439,8769,12291,5358,8342,"Levilactobacillus brevis"
"23",3,2,0,2,42,1,0,1,1,2,6,3,1,1,5,2,54,1,0,0,0,18,18,2,400,44,143,5237,166288,5136,"Companilactobacillus crustorum"
"24",1,0,1,0,39,0,1,1,1,2,5,1,3,1,0,2,38,0,0,1,0,19,25,0,157,55,68,2615,164307,7544,"Pediococcus cellicola"
"25",7391,7721,8748,9784,8970,7208,5721,5944,5827,3962,4430,2753,4852,943,5008,8574,8015,7188,6800,6830,6738,6076,5748,4093,3823,5668,2875,1950,2553,2850,"Salmonella sp. fj-h1"
"26",4703,5330,4634,3952,3648,3349,2825,3465,2820,4298,3248,7595,3450,16151,3399,5745,5205,8358,4064,3170,3615,3374,3067,6116,4321,4776,10124,2606,4140,2323,"Sphingobacteriaceae bacterium"
"27",6164,6537,7392,7529,6962,5778,4797,4666,4721,3334,3281,2267,4403,1208,4155,7182,6862,6572,5165,5190,5477,4503,4738,2800,2773,4150,2333,1238,1715,1850,"Mycobacterium tuberculosis"
"28",6037,6246,7026,7217,6296,5310,4118,4464,4372,3258,3255,3076,3701,3508,3692,6903,6517,6622,4874,4981,4882,4607,4255,3357,3125,4310,3535,1574,2362,2181,"Serratia marcescens"
"29",3875,4578,3538,2309,2390,2229,2149,2676,2016,4150,2999,8774,2958,19658,2998,4996,3966,8267,3108,2272,2847,2520,2262,6158,4510,4600,11876,2782,4610,2187,"Escherichia sp. R8"
"30",5430,5801,6489,7445,6648,5438,4352,4437,4542,3024,3327,2140,3597,821,3978,6413,5942,5285,5098,5180,5108,4584,4271,3059,2930,4183,2090,1474,1865,2246,"Enterobacter sp. EC-NT1"
"31",7153,6997,7864,7010,6309,5385,3903,4021,2977,2266,2355,1614,1518,633,2201,7301,6565,6836,6169,5695,4775,4945,3559,4109,1924,2427,1255,1249,1093,1005,"Unclassified_g_Paenibacillus"
"32",0,1,1,27,4,3,2,1,1,20,3,22,10,12,22,33,3,1,1,1,3,9,13,0,104,41,1373,105074,3321,9683,"Lentilactobacillus parafarraginis"
"33",34,49,41,42,66,28,53,43,26,66,71,51,57,30,90,32,58,22,34,31,27,69,67,46,85,72,62,79,112776,3877,"Acetobacter indonesiensis"
"34",3314,3788,2831,1893,1978,1865,1899,2450,1647,3524,2619,7446,2724,16489,2490,3994,3362,6986,2573,1911,2487,2128,1878,5429,3969,3881,10130,2498,4035,1879,"Algibacter sp. L4_22"
"35",4663,4865,5479,5835,5258,4296,3377,3643,3529,2571,2662,1773,3091,1189,3192,5436,5004,4655,3971,4060,4029,3638,3446,2624,2382,3457,1822,1189,1583,1694,"Bradyrhizobium icense"
"36",4611,4895,5652,5945,5453,4413,3267,3505,3549,2275,2581,1861,2780,1135,2911,5373,4994,4647,4104,4106,3940,3531,3449,2510,2275,3290,1999,1108,1481,1701,"uncultured bacterium"
"37",6047,5990,6692,5799,5246,4582,3167,3372,2475,1848,2007,1328,1276,512,1798,6344,5385,5843,5204,4728,4064,4228,2961,3457,1569,1973,1089,1084,919,828,"Paenibacillus polymyxa"
"38",72,43,62,23,27,11,20,8,11,69,173,182,229,137,136,20,47,11,6,2,9,51,97,21,113,153,91,1232,85295,1432,"Unclassified_g_Lactiplantibacillus"
"39",2501,2973,2213,1614,1477,1436,1381,1848,1232,2772,1900,5862,2033,12939,1916,3198,2660,5416,2012,1422,2001,1618,1463,3998,3091,3141,7823,1855,2994,1398,"Bacillus sp. SRB_28"
"40",3444,3810,3832,3605,3247,2815,2302,2479,2354,2222,2049,2800,2320,4831,2309,3988,3648,4319,2777,2698,2861,2456,2246,2580,2149,2720,3525,1282,1839,1380,"Unclassified_o_Enterobacterales"
"41",8,13,13,14,25,12,22,12,11,16,19,29,287,270,1010,20,29,14,9,11,13,23,20,19,310,234,197,25703,41544,11908,"Unclassified_g_Lentilactobacillus"
"42",0,4,2,9,26,6,16,3,1,5,2,19,5,11,33,10,24,2,7,4,2,38,14,7,171,87,66,3184,71056,4600,"Pediococcus parvulus"
"43",2764,3020,3160,3178,2922,2453,1952,2101,2003,1765,1702,2151,1946,3560,1831,3365,3122,3507,2366,2232,2375,2486,1979,2209,1770,2212,2554,920,1420,1132,"Proteus mirabilis"
"44",2671,2978,3121,3551,3236,2547,2036,2232,2037,1681,1691,1614,1900,1985,1950,3254,2997,2957,2446,2384,2430,2386,2036,1838,1670,2401,1975,876,1170,1120,"Salmonella enterica"
"45",2723,2950,3435,3411,3100,2498,2177,2144,2127,1503,1633,1171,1894,910,2025,3304,3130,2810,2323,2522,2513,2356,2043,1526,1433,2012,1328,722,987,1028,"Aeromonas jandaei"
"46",4,7,5,11,21,3,7,9,2,5,6,8,4,1,6,20,28,13,13,11,13,28,16,14,92,54,43,1481,53445,2789,"Unclassified_g_Pediococcus"
"47",2277,2335,2749,3354,2941,2393,1951,1991,2044,1587,1723,1054,1877,443,2006,2620,2624,2275,2229,2255,2215,2154,1925,1312,1394,1901,1015,661,872,1027,"Salmonella sp. zj-f54"
"48",1586,1834,1347,1019,962,969,907,1269,811,1774,1297,3858,1270,8343,1255,2050,1624,3422,1328,1027,1249,1011,915,2741,2004,2036,4989,1134,2042,928,"Unclassified_g_Escherichia"
"49",8,8,2,3,4,6,6,4,5,18,16,22,290,411,922,8,8,4,2,3,4,12,10,3,366,272,77,18833,21888,12497,"Lentilactobacillus buchneri"
"50",2658,2455,3031,3036,2583,2223,1722,1673,1231,1375,1457,1058,1160,759,1702,2590,2195,2347,2462,2258,1918,2061,1420,1622,1366,1448,1007,1208,857,845,"Unclassified_g_Enterobacter"
"51",2322,2396,2872,2989,2610,2041,1705,1791,1788,1245,1344,808,1671,342,1513,2735,2656,2424,2060,2058,1990,1737,1847,1121,1091,1640,825,531,783,854,"Tatumella sp. JGM118"
"52",191,189,190,403,295,309,1101,883,840,1556,1444,1072,1456,736,1936,256,277,175,397,358,277,903,718,811,1393,1519,1097,5170,19424,3698,"Unclassified_o_Lactobacillales"
"53",18,1,4,5,13,2,6,2,1,6,15,19,23,18,17,3,16,1,2,1,1,11,8,0,57,452,16,2730,42694,2386,"Unclassified_g_Lacticaseibacillus"
"54",0,1,0,2,20,0,1,1,2,4,6,7,2,12,2,3,15,2,3,1,3,6,4,3,109,11,44,1407,44546,1420,"Unclassified_g_Companilactobacillus"
"55",39,23,28,182,130,105,768,586,545,720,706,549,655,279,842,33,55,21,119,116,69,436,362,381,694,746,518,3074,32279,2240,"Lactiplantibacillus plantarum"
"56",1930,1980,2349,2656,2401,1874,1482,1607,1610,1138,1205,740,1420,338,1410,2303,2134,1977,1654,1790,1773,1559,1583,1005,1002,1492,776,468,683,757,"Unclassified_g_Acinetobacter"
"57",1710,1873,2103,2075,1933,1576,1252,1319,1292,1027,1043,892,1262,1060,1251,2118,1974,1942,1521,1445,1586,1337,1247,1047,969,1344,998,451,716,653,"Unclassified_g_Salmonella"
"58",1924,1727,2170,1830,1631,1384,1200,1253,1039,1001,952,720,760,311,1086,1979,1683,1644,1626,1522,1282,1483,1136,1096,799,984,589,687,543,492,"Bacillus velezensis"
"59",483,468,539,785,618,560,1305,1154,1099,1964,1931,1572,1761,994,2255,600,514,550,599,599,519,1188,942,1153,1569,1679,1375,2384,3468,1447,"Unclassified_p_Firmicutes"
"60",1424,1516,1694,1790,1513,1314,1089,1117,1059,911,849,925,964,1292,956,1676,1582,1643,1288,1282,1250,1123,1046,1038,868,1188,1174,483,810,635,"Staphylococcus aureus"
"61",1130,1142,1361,1110,1044,853,916,809,656,789,758,792,682,788,882,1430,1104,1187,1109,982,807,963,735,907,720,844,761,1428,7217,900,"Unclassified_c_Bacilli"
"62",1504,1370,1664,1463,1384,1107,1256,1247,956,1057,1039,781,839,345,1186,1626,1370,1313,1370,1249,997,1313,1121,1188,953,1124,644,810,671,590,"Bacillus subtilis"
"63",964,1056,861,552,566,557,455,739,439,1001,695,2064,725,4852,676,1142,1014,1887,760,537,705,590,556,1532,1154,1113,2747,703,1095,455,"Bacillus sp. SRB_336"
"64",887,1014,778,539,498,493,469,657,450,907,663,1929,635,4526,678,1086,940,1872,666,499,688,512,472,1454,1065,1057,2657,629,1073,542,"Synechococcus sp. PCC 7002"
"65",4,4,5,59,42,24,172,172,121,272,249,172,764,250,1025,7,11,8,30,28,10,98,77,94,572,257,167,7111,13181,4435,"Lentilactobacillus hilgardii"
"66",838,1080,812,522,490,485,479,623,433,876,686,1855,685,4162,657,1007,861,1810,709,507,670,500,514,1367,982,964,2429,589,1057,502,"Escherichia sp. R6"
"67",66,85,84,503,385,349,1707,1334,1299,2033,1920,1477,1672,700,2414,84,78,83,335,312,186,1104,896,1037,1763,1814,1276,1715,588,1389,"Unclassified_g_Levilactobacillus"
"68",8,6,8,4,13,11,9,12,11,24,12,15,22,4,20,8,14,9,8,5,5,17,17,9,18,27,19,22,27397,888,"Unclassified_g_Acetobacter"
"69",1251,1370,1566,1588,1429,1169,910,905,870,612,745,504,787,209,836,1464,1425,1320,1093,1049,1151,1036,947,706,635,895,512,306,372,417,"Dechloromonas sp. H13"
"70",1246,1327,1493,1613,1472,1152,907,1042,988,623,697,439,787,180,769,1424,1409,1215,1121,1189,1034,1025,1002,632,615,922,477,299,425,482,"Clostridium perfringens"
"71",0,1,6,7,5,0,2,2,1,16,9,18,70,76,1435,5,7,3,3,1,4,3,2,1,149,58,45,14856,8431,2550,"Lentilactobacillus diolivorans"
"72",730,739,859,938,778,618,1001,715,846,1117,1131,979,1691,1052,1812,900,856,771,860,764,758,722,699,635,920,1204,746,994,642,839,"Unclassified_g_Lactococcus"
"73",1011,1083,1204,1303,1240,961,885,960,924,673,637,587,715,547,773,1088,1132,1098,921,983,944,879,850,575,606,834,600,307,440,433,"Staphylococcus hominis"
"74",0,3,3,2,3574,1176,1017,0,0,1,1,0,3,2,5,0,10881,2296,1480,0,1,3,1,0,2,2,0,3,3297,1420,"Acetilactobacillus jinshanensis"
"75",13,15,10,12,12,7,10,11,5,21,17,15,13,16,23,11,17,10,12,7,9,17,18,9,18,16,19,10,23415,794,"Unclassified_f_Acetobacteraceae"
"76",663,750,576,408,415,418,331,479,342,721,489,1420,480,3053,498,828,688,1176,553,402,513,419,369,1055,729,791,1695,420,706,394,"Xylella fastidiosa"
"77",601,717,485,355,341,355,314,417,253,612,450,1280,452,2927,429,692,590,1256,457,330,410,359,313,908,707,714,1806,414,718,347,"Sinorhizobium meliloti"
"78",677,724,700,535,560,472,464,517,337,543,460,839,380,1552,431,811,648,946,595,501,481,535,436,754,587,587,1096,381,475,265,"Bacillus amyloliquefaciens"
"79",479,450,502,588,426,398,582,457,519,794,783,637,1094,515,1295,572,520,446,575,505,423,453,374,388,572,706,427,829,702,597,"Lactococcus lactis"
"80",493,612,491,348,372,289,326,406,285,551,411,1129,389,2316,360,673,554,983,412,304,400,369,325,858,551,604,1397,343,554,257,"Acinetobacter indicus"
"81",683,785,924,978,917,720,550,577,609,394,437,296,522,179,483,905,876,823,655,627,713,669,592,404,317,539,321,193,257,261,"Flavobacterium sp. SaA2.13"
"82",526,845,815,894,12,1,2,1,0,2,977,1290,1430,2293,2188,2234,43,8,9,3,3,1,306,1,495,848,826,910,82,6,"Lactobacillus acetotolerans"
"83",506,497,518,548,491,409,488,445,367,592,610,484,568,223,746,526,456,450,450,477,402,581,444,386,769,876,502,1245,1106,738,"Bacillus licheniformis"
"84",1,0,0,1,4,2,0,0,0,2,4,3,37,30,28,2,2,1,2,0,1,2,3,1,17,124,9,3006,9641,2123,"Lentilactobacillus rapi"
"85",1,0,1,175,89,90,893,726,623,1288,1169,905,1059,360,1393,0,1,0,78,66,38,416,372,543,948,1011,696,845,314,560,"Loigolactobacillus backii"
"86",371,455,360,266,230,242,224,276,196,389,282,738,299,1634,300,524,499,747,340,289,326,307,248,538,497,542,1013,353,554,263,"Enterococcus faecalis"
"87",6,3,4,8,6,6,6,6,5,11,10,16,41,23,531,7,10,6,10,15,10,19,15,10,83,27,27,6104,3960,1969,"Lactobacillus sp."
"88",344,398,326,284,258,241,220,263,215,319,278,697,308,1499,254,449,354,701,301,252,259,261,233,514,399,441,902,233,370,166,"Vibrio vulnificus"
"89",378,422,343,296,299,299,250,345,250,355,270,577,289,1156,269,452,380,568,326,272,272,243,250,481,333,406,733,225,335,183,"Vibrio parahaemolyticus"
"90",460,488,629,590,603,432,375,391,371,258,256,194,310,164,346,555,585,538,401,423,427,384,378,260,243,325,241,128,184,177,"Paenibacillus sp. 32352"
"91",204,209,189,270,215,178,335,217,236,376,398,304,698,387,768,188,198,158,269,235,160,336,176,185,552,654,311,1029,698,753,"Weissella cibaria"
"92",455,526,643,562,560,446,342,374,379,266,254,209,285,212,255,547,491,506,410,445,401,362,364,249,239,327,203,102,194,185,"Salinicoccus roseus"
"93",163,175,193,298,257,214,358,288,284,453,461,381,596,504,661,288,260,262,264,227,218,340,241,277,472,571,423,674,395,501,"Unclassified_g_Weissella"
"94",294,374,301,183,184,182,159,215,138,293,246,626,195,1528,248,406,321,606,231,219,202,178,179,465,339,336,915,200,316,160,"Salmonella sp. gx-f8"
"95",0,0,2,1,0,0,1,0,1,3,1,4,28,30,156,3,3,1,2,0,0,0,2,1,25,40,17,3050,5483,1372,"Lentilactobacillus parabuchneri"
"96",408,390,396,383,369,279,361,315,253,299,278,290,278,202,335,423,382,391,371,316,278,343,263,293,284,348,257,355,594,253,"Unclassified_f_Bacillaceae"
"97",0,0,1,1,1,1,2,0,0,0,1,1,0,4,0,1,4,0,4,4,2,9,7,5,15,11,5,202,8904,762,"Pediococcus ethanolidurans"
"98",417,477,584,549,487,374,307,320,319,249,249,168,244,138,267,558,473,430,377,375,401,356,302,255,231,325,195,102,148,160,"Aerococcus urinae"
"99",272,329,269,167,215,180,159,187,132,280,201,644,219,1388,185,345,309,567,234,183,213,206,173,474,332,332,826,191,336,152,"Weizmannia coagulans"
"100",442,418,449,464,359,337,311,347,285,274,279,207,237,161,316,465,400,446,371,378,287,373,282,309,255,272,221,300,241,205,"Unclassified_o_Bacillales"
"101",265,329,254,177,170,207,162,220,158,293,221,638,253,1355,227,352,308,584,239,168,217,179,162,441,322,323,766,217,314,131,"Salmonella sp. gx-f9"
"102",314,350,307,249,229,208,182,269,193,276,220,546,242,1078,191,374,327,527,246,225,241,243,188,407,287,316,676,180,293,138,"Unclassified_c_Actinomycetia"
"103",410,404,475,504,493,364,307,305,317,203,214,151,254,84,268,461,441,369,361,359,348,387,290,231,225,275,147,99,136,133,"Streptomyces caelestis"
"104",249,313,216,190,164,179,158,201,141,282,197,563,195,1231,225,335,276,571,216,150,198,171,177,391,277,301,802,175,284,124,"Labilibacter sediminis"
"105",284,332,274,227,238,190,152,230,137,241,186,455,212,1059,224,350,339,496,214,205,232,218,211,422,271,305,626,158,275,136,"Rickettsiaceae bacterium"
"106",235,318,285,256,184,183,182,239,186,259,181,503,213,942,201,353,303,473,254,229,245,198,182,420,291,294,590,160,214,138,"Soehngenia saccharolytica"
"107",250,254,200,135,157,139,145,166,113,235,163,519,177,1049,187,307,289,512,174,133,186,136,120,348,271,268,639,154,280,134,"Solirubrobacter sp. CPCC 204708"
"108",241,266,186,113,146,132,121,129,108,221,149,508,156,1212,163,271,244,490,204,152,175,147,116,345,244,253,704,141,236,112,"Prevotella lacticifex"
"109",171,199,179,204,150,135,189,198,152,277,262,378,243,626,291,216,189,252,149,109,159,195,140,284,225,320,414,242,490,278,"Limosilactobacillus reuteri"
"110",213,227,194,111,105,120,118,168,105,238,157,480,163,1039,147,266,208,428,156,142,166,131,136,363,256,246,650,151,247,120,"Gardnerella vaginalis"
"111",212,210,194,165,148,154,133,188,133,192,177,455,216,843,149,248,263,384,202,141,183,141,129,324,268,316,450,187,215,136,"Unclassified_g_Streptomyces"
"112",271,294,233,225,215,211,173,174,142,168,157,353,168,620,197,268,271,359,222,182,210,161,174,279,207,249,386,183,173,114,"Enterococcus faecium"
"113",212,268,213,166,175,166,122,159,122,204,130,417,154,867,162,264,238,412,186,180,162,135,144,326,221,272,491,108,201,101,"Pseudomonas putida"
"114",207,239,211,131,141,115,116,168,93,214,133,415,134,887,160,266,210,381,152,136,183,134,128,316,259,220,545,132,227,108,"Streptomyces plicatus"
"115",205,249,199,165,133,131,137,161,109,188,123,396,141,866,157,254,211,449,159,153,171,128,131,258,231,256,528,116,200,121,"Cobetia crustatorum"
"116",196,235,194,122,134,125,104,130,112,190,133,374,162,880,135,235,205,385,161,123,166,128,122,322,232,235,527,131,208,90,"Unclassified_p_Actinobacteria"
"117",259,300,333,374,358,271,238,207,213,168,152,93,197,35,185,289,295,285,274,233,260,223,232,157,144,186,101,70,88,111,"Salmonella sp. zj-h16"
"118",135,146,166,167,147,115,152,191,130,241,237,171,266,98,376,172,126,139,179,146,117,227,146,162,309,325,186,471,459,325,"Collinsella aerofaciens"
"119",244,270,308,361,338,291,236,213,221,154,171,106,171,39,147,268,264,241,215,232,243,220,221,157,154,186,127,70,78,119,"Francisella sp."
"120",50,58,70,66,45,46,36,45,40,33,37,118,50,200,38,57,68,97,44,42,32,44,41,61,46,53,97,34,3903,164,"Unclassified_c_Alphaproteobacteria"
"121",138,175,112,92,82,92,79,119,82,192,124,336,117,792,114,193,152,370,138,105,121,85,111,266,181,226,485,106,195,98,"Motilimonas pumila"
"122",163,209,163,163,130,121,100,116,106,178,117,313,133,580,139,210,189,288,137,115,133,116,99,233,153,173,381,102,158,88,"Plesiomonas shigelloides"
"123",247,279,260,318,246,205,163,174,190,129,115,103,109,84,136,267,250,243,201,193,191,164,162,125,99,164,90,51,64,68,"Actinoplanes ianthinogenes"
"124",137,165,126,90,88,92,101,193,62,155,117,306,112,747,121,178,151,284,116,90,126,78,72,255,159,192,408,94,176,65,"Enterobacter cloacae complex sp. 4DZ3-17B2"
"125",159,164,146,96,105,85,81,109,65,138,92,311,125,738,121,171,162,288,104,81,106,76,72,252,187,153,406,103,178,83,"Pseudomonas syringae"
"126",128,189,117,101,86,69,84,78,85,161,111,319,102,745,121,146,152,300,124,69,102,84,79,188,179,163,438,97,168,85,"Unclassified_g_Frankia"
"127",169,186,134,129,102,105,94,126,87,132,126,284,111,559,127,191,165,234,137,106,121,104,116,226,165,180,300,88,127,72,"Unclassified_p_Cyanobacteria"
"128",167,151,145,119,114,109,83,122,87,141,111,301,105,565,99,192,172,241,147,113,124,111,109,206,156,194,331,64,131,92,"uncultured Paraburkholderia sp."
"129",173,186,275,242,229,208,187,159,178,129,127,79,138,27,163,245,268,226,188,195,179,158,190,140,89,117,66,42,76,78,"Sulfitobacter sp. CW3"
"130",164,165,192,203,178,180,133,109,134,89,137,94,130,68,129,212,227,183,161,152,174,659,136,107,96,150,83,56,66,56,"Rhizobium leguminosarum"
"131",134,152,108,112,97,82,65,102,80,158,96,289,99,661,90,148,127,293,116,79,108,80,87,206,140,164,346,81,125,79,"Unclassified_p_Bacteroidota"
"132",283,262,283,249,219,200,145,142,96,77,90,64,60,19,96,256,233,272,227,222,190,165,106,154,83,116,37,47,37,40,"Paenibacillus jamilae"
"133",96,88,66,50,43,62,45,50,38,87,53,161,68,341,47,91,108,134,67,63,52,96,60,119,97,95,177,68,1800,95,"Acetobacter malorum"
"134",149,153,151,142,150,103,98,119,91,111,87,200,97,442,101,172,151,248,129,120,147,120,114,141,106,147,287,68,105,87,"Geminicoccus harenae"
"135",23,19,23,36,45,31,64,56,52,83,97,81,104,52,132,169,138,69,93,91,77,220,129,109,273,269,179,603,576,389,"Pediococcus acidilactici"
"136",241,252,299,251,205,167,117,121,100,75,82,56,46,29,64,261,240,259,236,221,166,184,127,129,65,61,57,51,54,33,"Paenibacillus ottowii"
"137",115,170,123,89,88,104,76,97,61,126,97,263,91,503,86,162,120,259,107,85,90,69,84,148,141,136,360,86,121,65,"Candidatus Burkholderia verschuerenii"
"138",126,122,102,81,92,75,68,88,75,117,99,262,116,467,74,146,129,253,106,86,110,76,65,210,106,142,304,63,118,60,"Paucibacter sp. DJ4R-1"
"139",122,134,91,84,78,57,69,96,73,107,88,255,94,479,94,129,117,233,96,68,93,77,76,189,113,137,293,73,126,64,"Candidatus Frankia meridionalis"
"140",150,173,205,219,181,164,143,114,114,87,101,65,112,35,129,193,203,168,176,134,165,138,105,70,87,135,43,39,74,70,"Acinetobacter genomosp. 33YU"
"141",185,186,210,209,159,166,110,110,84,88,95,86,72,29,119,188,178,183,158,168,149,138,98,112,100,107,72,78,64,53,"Enterobacter ludwigii"
"142",129,123,106,70,47,80,49,82,65,123,79,252,86,515,91,130,127,202,93,59,85,78,46,155,144,134,352,66,109,56,"Candidatus Frankia nodulisporulans"
"143",2,4,1,0,0,1,2,0,2,2,3,1,2,1,2,0,0,0,2,1,1,2,2,0,4,6,3,6,3441,120,"Acetobacter orientalis"
"144",173,155,164,211,178,171,138,118,165,60,95,63,104,19,108,182,171,133,141,137,153,119,128,98,81,118,53,31,45,71,"Unclassified_g_Arthrobacter"
"145",90,110,96,62,58,61,57,279,52,91,62,195,76,506,72,111,86,215,89,67,75,47,53,193,126,102,289,58,122,61,"Enterobacter cloacae complex sp. 4DZ3-28B"
"146",132,149,137,161,167,156,101,98,97,93,101,100,92,131,106,211,166,182,115,133,131,116,99,91,91,108,104,47,66,52,"bacterium"
"147",98,108,79,67,69,54,62,79,51,100,74,215,81,469,90,115,103,224,70,76,70,61,42,160,113,114,294,85,111,49,"Lysinibacillus sphaericus"
"148",93,140,90,62,49,65,55,65,49,106,78,226,90,476,88,145,99,189,79,52,71,69,53,129,104,126,272,87,99,47,"Salmonella sp. zj-f50"
"149",119,128,96,64,56,64,46,92,64,92,58,169,75,448,73,144,87,181,116,63,90,83,51,180,90,124,243,63,95,49,"Citrobacter portucalensis"
"150",89,100,92,72,59,53,68,70,48,87,70,216,68,462,77,102,121,180,76,66,64,65,71,147,138,112,278,57,87,52,"Streptomyces fumigatiscleroticus"
"151",79,118,89,72,69,55,37,69,40,80,74,191,67,496,91,122,92,177,71,55,77,61,57,149,114,124,264,66,100,58,"Mycobacterium sp. 852014-50255_SCH5639931"
"152",110,144,111,102,107,111,62,80,77,85,88,141,70,196,86,133,128,132,122,120,112,107,95,117,88,112,140,45,70,52,"Mycobacteroides abscessus"
